species,flower_color,flower_shape,pollination_guild,pollination_notes,mating_system,self_incompatibility,evidence_type,confidence
Aristolochia clematitis L.,yellow; yellow-green,zygomorphic tubular trap-flower,flies,Sapromyiophilous trap pollination by small flies.,obligate_outcrossing,unknown,review; inference,medium
Quercus ilex L.,greenish,male catkins; small female flowers,wind,Monoecious oak relying on wind pollination.,mixed_mating,likely_SI,review; inference,low
Ruppia L.,inconspicuous,tiny reduced aquatic flowers,self,Hydrophilous or autonomous selfing common in aquatic environment.,mainly_selfing,SC,review; inference,low
Eryngium campestre L.,white; blue-tinged,actinomorphic florets in spiny umbels,mixed,"Spiny umbellifer attracting bees, flies and beetles.",mixed_mating,unknown,flora; inference,low
Phacelia tanacetifolia Benth.,blue; violet,actinomorphic bell to funnel flowers,bees,Strong nectar source heavily visited by honeybees and bumblebees.,mixed_mating,SC,field_study; horticulture; inference,medium
Centaurea aspera L.,pink; purple,actinomorphic capitulum,bees,Thistle-like flowers visited by bees and butterflies.,mixed_mating,likely_SI,review; inference,low
Datura stramonium L.,white; cream,large trumpet-shaped flowers,moths,Night-opening flowers attract hawkmoths; highly self-compatible.,mainly_selfing,SC,field_study; review,medium
Matthiola sinuata (L.) R.Br.,lilac; pink; white,actinomorphic 4-petaled fragrant flower,moths,Fragrant evening flowers adapted to moth pollination.,obligate_outcrossing,likely_SI,inference,low
Nerium oleander L.,pink; white; red,actinomorphic funnel-shaped flowers,bees,Showy flowers attract bees and butterflies; often self-fertile.,mixed_mating,likely_SC,horticulture; inference,medium
Carex arenaria L.,greenish-brown,reduced unisexual florets,wind,Wind-pollinated sedge with reduced flowers.,obligate_outcrossing,unknown,flora; inference,low
Echium vulgare L.,blue; violet,zygomorphic tubular flower,bees,Highly nectariferous plant visited by bees; protandrous.,mixed_mating,unknown,field_study; inference,medium
Clematis flammula L.,white; cream,actinomorphic 4-petaled flowers,bees,Scented flowers visited by bees and flies.,mixed_mating,unknown,flora; inference,low
Iris foetidissima L.,yellow; greenish; purplish-brown,zygomorphic iris flower,bees,Bees visit dull-colored iris flowers; some selfing possible.,mixed_mating,unknown,flora; inference,low
Diplotaxis tenuifolia (L.) DC.,yellow,actinomorphic cruciform flower,bees,Open yellow flowers visited by bees and flies.,mixed_mating,likely_SC,field_study; inference,low
Malva sylvestris L.,pink; purple,actinomorphic mallow flower,bees,Nectar and pollen flowers; widely self-compatible.,mixed_mating,SC,field_study; inference,medium
Suaeda vera Forssk. ex J.F.Gmel.,greenish,tiny reduced flowers,wind,Halophyte likely wind-pollinated or selfing.,mainly_selfing,SC,flora; inference,low
Plantago lanceolata L.,white; brownish,tiny flowers in spikes with exserted stamens,wind,Primarily wind-pollinated but insects may visit.,mixed_mating,SI,review; inference,low
Salvia verbenaca,violet;blue-purple,"zygomorphic, bilabiate lipped corolla in verticillasters",bees,Labiate flowers with nectar at the base; mainly visited and pollinated by bees which land on the lower lip.,mixed_mating,likely_SI,flora;inference,medium
Eryngium maritimum,blue;blue-green,"actinomorphic, small umbellate capitula with spiny bracts",mixed,"Umbel-like inflorescences produce abundant nectar and are visited by a variety of bees, flies, beetles, and butterflies.",mixed_mating,unknown,flora;inference,medium
Arbutus unedo,white;creamy,"urceolate, actinomorphic, drooping bells",bees,"Nectar-bearing, bell-shaped flowers are mainly pollinated by bees including honeybees and bumblebees.",mixed_mating,likely_SI,field_study;review;inference,medium
Punica granatum,red;orange-red,"actinomorphic, tubular-urn shaped with multiple stamens",mixed,Showy red flowers attract bees and other insects; many cultivars are partially self-fertile but cross-pollination often improves fruit set.,mixed_mating,likely_SC,horticulture;field_study;inference,medium
Vicia faba,white with black spots,"zygomorphic, papilionoid legume flower",bumblebees,"Relatively large, nectar-rich flowers visited by bumblebees which trip the keel; can self-pollinate but bee visitation increases seed set.",mixed_mating,SC,field_study;review,high
Polygala myrtifolia,purple;pink-purple,"zygomorphic, papilionoid-like with winged petals",bees,Nectar-bearing papilionoid-like flowers are mainly pollinated by bees in its native and introduced range.,mixed_mating,unknown,flora;horticulture;inference,medium
Dianthus gallicus,pink;rose,"actinomorphic, 5-petaled with narrow clawed petals",butterflies,"Narrow-tubed, often scented pink flowers typical of Dianthus, frequently visited by butterflies and moths; also small bees.",mixed_mating,likely_SI,flora;inference,low
Hedera helix,greenish-yellow,"actinomorphic, small umbelled flowers",flies,"Nectar-rich umbels in autumn attract many insects, especially flies and bees; protandrous flowers encourage outcrossing.",mixed_mating,unknown,field_study;review;inference,medium
Rubia peregrina,greenish-yellow,"actinomorphic, small star-shaped flowers",flies,"Small greenish flowers with exposed nectar, mainly visited by small flies and bees.",mixed_mating,unknown,flora;inference,low
Cakile maritima,lilac;pale purple;white,"actinomorphic, 4-petaled cruciform",bees,Coastal crucifer with open flowers visited by bees and flies; capable of automatic selfing but benefits from cross-pollination.,mixed_mating,likely_SC,field_study;flora;inference,medium
Mibora minima,inconspicuous;green,"grassy spikelets, highly reduced flowers",wind,"Small annual grass with reduced, non-showy flowers adapted to wind pollination.",mainly_selfing,SC,flora;inference,low
Beta vulgaris,green;greenish,"small, apetalous clustered flowers",wind,"Wild beets have small wind-pollinated flowers; breeding suggests some degree of outcrossing but also selfing, depending on population.",mixed_mating,unknown,review;horticulture;inference,low
Teucrium fruticans,blue;pale lilac,"zygomorphic, labiates with prominent lower lip",bees,Labiatae shrub with nectar-bearing flowers visited mainly by bees.,mixed_mating,unknown,flora;horticulture;inference,medium
Vinca major,violet;blue-purple,"actinomorphic, rotate corolla with 5 lobes",bees,Showy periwinkle flowers attract bees; some autonomous selfing possible.,mixed_mating,unknown,horticulture;inference,low
Erodium moschatum,pink;pale purple,"actinomorphic, 5-petaled geraniaceae flower",bees,Small pink flowers visited by bees and flies; likely capable of selfing as many Erodium species are.,mixed_mating,likely_SC,flora;inference,low
Ailanthus altissima,greenish-yellow,"small, actinomorphic, in large panicles",flies,"Dioecious tree with small, insect-pollinated flowers, visited by flies and small bees; strong odor.",obligate_outcrossing,SI,field_study;review;inference,medium
Foeniculum vulgare,yellow,"actinomorphic, small umbel flowers",mixed,"Open umbels attract diverse insects including bees, flies, beetles, and wasps; generalist insect-pollinated species.",mixed_mating,unknown,field_study;flora;inference,medium
Dipsacus fullonum,lilac;pale purple,"actinomorphic, dense thistle-like head",bees,"Inflorescences visited by bees, flies and butterflies; protandry promotes outcrossing.",mixed_mating,unknown,field_study;inference,low
Geranium molle,pink;purplish-pink,"actinomorphic, 5-petaled geranium flower",bees,Small pink flowers visited by bees and flies; capable of autonomous self-pollination in some populations.,mixed_mating,likely_SC,flora;inference,low
Verbena officinalis,pale lilac;pinkish,"zygomorphic, small tubular flowers in spikes",bees,Nectar-bearing spikes visited mainly by bees and hoverflies; some potential for selfing.,mixed_mating,unknown,flora;inference,low
Ephedra distachya,yellow;yellowish-green,"highly reduced, cone-like unisexual flowers",wind,Gymnosperm with reduced flowers; primarily wind-pollinated though some insects may visit.,mixed_mating,unknown,review;inference,low
Herniaria ciliolata,greenish,"very small, actinomorphic, apetalous flowers",unknown,"Tiny, inconspicuous flowers; likely self-pollinated or visited by small insects but detailed data lacking.",unknown,unknown,flora;inference,low
Mercurialis annua,greenish,"reduced, unisexual flowers in clusters",wind,Mostly wind-pollinated annual with separate male and female plants; androdioecy/monoecy promotes outcrossing.,obligate_outcrossing,SI,field_study;review,high
Odontites jaubertianus,pink;purple,"zygomorphic, bilabiate hemiparasite flower",bees,"Small bilabiate flowers typical of Orobanchaceae, likely pollinated mainly by bees.",mixed_mating,unknown,flora;inference,low
Cirsium arvense,lilac;pale purple,actinomorphic capitula with many tubular florets,bees,"Dioecious or functionally dioecious thistle; insect-pollinated by bees, hoverflies and butterflies; dioecy enforces outcrossing.",obligate_outcrossing,SI,field_study;review,high
Aphanes arvensis,greenish,"very small, apetalous flowers",self,"Tiny, inconspicuous flowers; likely predominantly self-pollinating.",mainly_selfing,SC,flora;inference,low
Linaria arenaria,yellow,"zygomorphic, spurred snapdragon-type corolla",bees,Spurred flowers requiring bee visitors to open; likely adapted to bee pollination though some selfing may occur.,mixed_mating,likely_SI,flora;inference,low
Prunus spinosa,white,"actinomorphic, 5-petaled with many stamens",bees,"Early-flowering shrub; nectar & pollen-rich, visited by bees and flies; largely outcrossing.",mixed_mating,likely_SI,field_study;review;inference,medium
Convolvulus arvensis,white;pink;white with pink,"actinomorphic, funnel-shaped",bees,Showy funnel flowers attract bees; capable of selfing but cross-pollination by insects is common.,mixed_mating,likely_SC,field_study;inference,medium
Baccharis halimifolia,white;creamy,small capitula in clusters; dioecious,flies,"Dioecious shrub with small nectar-producing heads visited by flies, bees, and butterflies; obligate outcrosser.",obligate_outcrossing,SI,field_study;review;inference,medium
Ligustrum vulgare L.,white,actinomorphic small clustered flowers,bees,Fragrant white flowers attract bees strongly; some selfing occurs.,mixed_mating,likely_SC,flora; inference,medium
Halimione portulacoides (L.) Aellen,greenish,reduced apetalous flowers,wind,Halophytic shrub with wind-pollinated inconspicuous flowers.,mixed_mating,unknown,flora; inference,low
Laurus nobilis L.,yellow; yellow-green,actinomorphic small flowers,bees,"Dioecious species with insect pollination (bees, small flies).",obligate_outcrossing,likely_SI,review; inference,medium
Geranium purpureum Vill.,pink; magenta,actinomorphic 5-petaled,bees,Geraniums usually bee-pollinated; partial autogamy possible.,mixed_mating,likely_SC,flora; inference,medium
Muscari comosum (L.) Mill.,purple; blue,actinomorphic urn-shaped raceme,bees,Nectar flowers visited by bees; moderate self-compatibility.,mixed_mating,likely_SC,flora; inference,medium
Plantago coronopus L.,greenish; white-tipped,reduced spike flowers,wind,Primarily wind-pollinated; partial selfing common.,mainly_selfing,SC,review; inference,medium
Limbarda crithmoides (L.) Dumort,yellow,actinomorphic capitulum,bees,Coastal Asteraceae visited by bees and flies.,mixed_mating,unknown,flora; inference,low
"Centaurea aspera subsp. aspera Linnaeus, 1753",pink; purple,actinomorphic thistle-like head,bees,Centaurea typically bee-pollinated; SI common.,obligate_outcrossing,SI,review; inference,medium
Euphorbia portlandica L.,greenish-yellow,cyathia,mixed,Coastal spurge visited by flies and bees.,mixed_mating,unknown,flora; inference,low
Pinus pinea L.,greenish,reduced male/female cones,wind,Pine species strictly wind-pollinated.,obligate_outcrossing,SI,review,high
Solanum dulcamara L.,purple; violet,actinomorphic rotate; poricidal anthers,bees,Buzz-pollinated by bees; some selfing possible.,mixed_mating,SC,field_study; review,medium
Himantoglossum hircinum (L.) Spreng.,greenish; white; purple-marked,zygomorphic orchid flower,bees,Pollinated mainly by male bees (food/pheromone deception).,obligate_outcrossing,SI,field_study; review,high
Bellis perennis L.,white; pink-tipped,actinomorphic composite head,bees,"Visited by bees, flies; self-compatible.",mixed_mating,SC,field_study; review,high
Pancratium maritimum L.,white,actinomorphic large funnel-shaped,moths,Fragrant nocturnal flowers pollinated mainly by hawkmoths.,obligate_outcrossing,unknown,field_study; inference,medium
Rumex crispus L.,greenish,reduced wind-pollinated flowers,wind,Typical wind-pollinated Rumex; flexible mating system.,mixed_mating,SC,review; inference,medium
Urtica urens L.,green,reduced wind-pollinated flowers,wind,Wind-pollinated herb; high self-compatibility.,mainly_selfing,SC,review; inference,medium
Geranium rotundifolium L.,pink,actinomorphic 5-petaled,bees,Bee-pollinated but selfing common in disturbed habitats.,mainly_selfing,SC,review; inference,medium
Ammi majus L.,white,actinomorphic umbel,mixed,"Umbellifer attracting flies, bees, beetles.",mixed_mating,unknown,flora; inference,low
Cynodon dactylon (L.) Pers.,greenish,reduced grass florets,wind,Grass species; wind pollination.,mainly_selfing,SC,review; inference,medium
Sternbergia lutea (L.) Ker Gawl. ex Spreng.,yellow,actinomorphic crocus-like,bees,Autumn bloomer visited by bees; geophyte with some selfing.,mixed_mating,likely_SC,horticulture; inference,low
Cichorium intybus L.,blue,actinomorphic ligulate head,bees,Visited by bees; partial selfing.,mixed_mating,SC,field_study; review,medium
Ranunculus trilobus Desf.,yellow,actinomorphic buttercup flower,bees,Buttercups generally insect-pollinated; often self-compatible.,mixed_mating,likely_SC,flora; inference,medium
Senecio vulgaris subsp. denticulatus (O.F.Müll.) P.D.Sell,yellow,actinomorphic capitulum,self,Often autonomously self-pollinating.,obligate_selfing,SC,field_study; review,high
Matthiola sinuata (L.) W.T.Aiton,pink; lilac; white,actinomorphic 4-petaled fragrant,moths,Nocturnal moth-pollinated coastal Brassicaceae.,obligate_outcrossing,likely_SI,inference,medium
Medicago sativa L.,purple,actinomorphic papilionate,bees,Legume requiring bee tripping for fertilization; mostly outcrossing.,obligate_outcrossing,SI,field_study; review,high
Picris hieracioides L.,yellow,actinomorphic composite head,bees,Generalist insect-pollinated Asteraceae; some selfing.,mixed_mating,SC,field_study; inference,medium
Acanthus mollis L.,white; pink,zygomorphic large bracteate flowers,bees,Bees visit tubular flowers; some selfing possible.,mixed_mating,unknown,flora; inference,low
Beta vulgaris subsp. maritima (L.) Arcang.,greenish,reduced wind-pollinated flowers,wind,Wild beet; wind pollination; partial selfing.,mixed_mating,SC,review; field_study,medium
Arundo donax L.,greenish,reduced grass florets,wind,Giant reed; strictly wind-pollinated.,obligate_outcrossing,unknown,review; inference,low
Carduus tenuiflorus Curtis,purple; pink,actinomorphic thistle capitulum,bees,Visited by bees and butterflies; SI common in Carduus.,obligate_outcrossing,SI,review; inference,medium
Dactylis glomerata,greenish,highly reduced grass florets in dense panicles,wind,Perennial grass with non-showy flowers and abundant airborne pollen typical of wind pollination; likely substantial autonomous selfing with some outcrossing.,mainly_selfing,SC,flora; inference,medium
Rumex pulcher subsp. pulcher,greenish,small unisexual flowers in lax panicles,wind,Dock with apetalous reduced flowers typical of wind pollination; mostly outcrossing but some geitonogamy possible.,mixed_mating,unknown,flora; inference,low
Hibiscus syriacus,pink; white; purple; bicolored,large actinomorphic funnel-shaped mallow flowers,bees,Showy nectar- and pollen-rich flowers visited by bees; self-fertile but cross-pollination improves seed set.,mixed_mating,likely_SC,horticulture; inference,medium
Linaria vulgaris,yellow; orange-yellow,zygomorphic spurred snapdragon-type flowers,bees,Spurred flowers requiring bees to open; some autonomous selfing but bee visitation promotes outcrossing.,mixed_mating,likely_SI,field_study; inference,medium
Scrophularia scorodonia,greenish; brownish,zygomorphic tubular flowers with open mouth,flies,Tubular nectar flowers frequently visited by flies and small bees; likely mixed mating.,mixed_mating,unknown,flora; inference,low
Alcea rosea,pink; red; purple; white,large actinomorphic rotate mallow flowers,bees,Tall mallow with abundant nectar/pollen; heavily bee-visited; largely self-compatible.,mixed_mating,SC,horticulture; inference,medium
Allium polyanthum,white; pinkish,small star-shaped flowers in umbels,bees,Nectar-rich umbel flowers visited by bees and flies; likely capable of both selfing and outcrossing.,mixed_mating,likely_SC,flora; inference,low
Bromus hordeaceus,greenish,reduced grass florets in compact panicles,wind,Annual grass with cleistogamous or nearly closed flowers; predominantly selfing.,mainly_selfing,SC,flora; inference,medium
Hypericum perforatum,yellow,actinomorphic 5-petaled flowers with many stamens,bees,Bright yellow flowers visited by bees; highly self-compatible but also outcrosses.,mixed_mating,SC,field_study; review,high
Carduus pycnocephalus,pink; purple,actinomorphic thistle-like capitula,bees,Nectar and pollen for bees and butterflies; mostly cross-pollinated.,obligate_outcrossing,likely_SI,field_study; inference,medium
Elaeagnus angustifolia,cream; yellowish-white,small tubular-funnelform flowers,bees,Strongly fragrant nectar flowers attracting bees; self-fertile but benefits from outcrossing.,mixed_mating,likely_SC,horticulture; inference,medium
Euphorbia segetalis subsp. portlandica,greenish-yellow,cyathia in small clusters,mixed,"Nectar-producing cyathia visited by flies, bees, beetles; capable of both selfing and outcrossing.",mixed_mating,unknown,flora; inference,low
Phleum arenarium,greenish,reduced grass florets in cylindrical spikes,wind,Wind-pollinated grass; predominantly selfing.,mainly_selfing,SC,flora; inference,low
Polycarpon tetraphyllum,greenish-white,very small actinomorphic flowers,self,Tiny ground-level flowers; primarily autogamous.,mainly_selfing,SC,flora; inference,low
Artemisia vulgaris,greenish; brownish,small discoid capitula,wind,Small wind-pollinated heads; occasional insect visitors.,mixed_mating,unknown,flora; inference,low
Cerastium glomeratum,white,small actinomorphic chickweed flowers,self,Self-pollination common before flowers open; occasional insect visits.,mainly_selfing,SC,field_study; inference,medium
Lobularia maritima,white; lilac; purple,actinomorphic 4-petaled crucifer flowers,bees,Sweet-scented flowers attracting bees and flies; often self-compatible.,mixed_mating,likely_SC,horticulture; inference,medium
Medicago marina,yellow,papilionoid legume flowers,bees,Coastal prostrate legume visited by bees; likely both selfing and outcrossing.,mixed_mating,unknown,flora; inference,low
Polypodium interjectum,unknown,fern with fronds bearing sporangia (no flowers),unknown,Fern reproducing by spores; pollination traits inapplicable.,unknown,unknown,review; inference,low
Medicago lupulina,yellow,small papilionoid legume flowers,bees,Highly self-compatible legume with both autonomous and bee-mediated reproduction.,mainly_selfing,SC,field_study; review,medium
Ophrys passionis,brown; greenish,highly zygomorphic orchid flowers,bees,Sexually deceptive orchid pollinated by male bees; obligate outcrosser.,obligate_outcrossing,SI,field_study; review,high
Parietaria judaica,greenish,very small unisexual flowers,wind,Inconspicuous flowers with wind-dispersed pollen; some geitonogamy possible.,mixed_mating,unknown,flora; inference,low
Pteridium aquilinum,unknown,fern with sporangia (no flowers),unknown,Fern with wind-dispersed spores; no floral traits apply.,unknown,unknown,review; inference,low
Anthriscus caucalis,white,small flowers in compound umbels,mixed,"Umbellifer attracting flies, beetles, small bees.",mixed_mating,unknown,flora; inference,low
Silene latifolia,white,actinomorphic 5-petaled flowers with inflated calyx,moths,Dioecious with night-scented flowers attracting moths; obligate outcrosser.,obligate_outcrossing,SI,field_study; review,high
Helichrysum stoechas,yellow,capitula with tubular florets,bees,"Visited by bees, flies, butterflies; likely mixed mating.",mixed_mating,unknown,flora; inference,low
Sanguisorba minor,greenish; reddish,small flowers in heads,mixed,Wind and insects may contribute to pollination; mixed mating expected.,mixed_mating,unknown,flora; inference,low
Cerastium pumilum,white,small chickweed flowers,self,Often self-pollinating; occasional insect outcrossing.,mainly_selfing,SC,flora; inference,medium
Cochlearia danica,white,4-petaled crucifer flowers,bees,Visited by flies and bees; likely self-compatible with mixed mating.,mixed_mating,likely_SC,flora; inference,low
Ornithogalum divergens,white,actinomorphic star-shaped flowers,bees,Visited by bees; capable of both selfing and outcrossing.,mixed_mating,unknown,flora; inference,low
Eriobotrya japonica (Thunb.) Lindl.,white; cream,actinomorphic 5-petaled rosaceous flowers in terminal panicles,bees,Fragrant nectar-bearing flowers visited by bees; self-fertile but cross-pollination increases fruit set.,mixed_mating,likely_SC,horticulture; inference,medium
Helichrysum stoechas subsp. stoechas,yellow,actinomorphic capitula with tubular florets,bees,"Yellow composite heads offering nectar and pollen to bees, flies, butterflies; mating system poorly documented.",mixed_mating,unknown,flora; inference,low
Hirschfeldia incana (L.) Lagr.-Foss.,yellow,actinomorphic crucifer flowers,bees,Mustard with bee-visited flowers; generally self-compatible with some outcrossing.,mixed_mating,likely_SC,flora; inference,low
Sonchus asper (L.) Hill,yellow,actinomorphic ligulate capitula,bees,Sow-thistle with self-compatible flowers; autonomous selfing common.,mainly_selfing,SC,flora; inference,medium
Eschscholzia californica Cham.,orange; yellow,actinomorphic poppy flowers,bees,California poppy; highly self-compatible but also bee-pollinated.,mainly_selfing,SC,field_study; review,high
Sambucus nigra L.,white; cream,actinomorphic small flowers in corymbs,mixed,"Scented elder flowers attracting flies, beetles, bees; self-fertile but outcrossing improves fruit set.",mixed_mating,likely_SC,field_study; review,medium
Tamarix gallica L.,pink,small actinomorphic flowers in racemes,mixed,Tiny nectar-bearing flowers visited by bees and flies; some wind contribution possible.,mixed_mating,unknown,flora; inference,low
Lamium amplexicaule L.,purple,zygomorphic bilabiate flowers,bees,Dead-nettle with cleistogamy and bee pollination; frequent autonomous selfing.,mainly_selfing,SC,field_study; inference,medium
Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl,greenish,reduced grass florets in panicles,wind,Perennial grass; wind-pollinated with high selfing probability.,mainly_selfing,SC,flora; inference,medium
Calystegia soldanella (L.) Roem. & Schult.,pink; pink-white,actinomorphic funnel-shaped flowers,bees,Showy bindweed flowers visited by bees; self-compatible with both autonomous and insect-assisted selfing.,mixed_mating,likely_SC,flora; inference,medium
Hordeum murinum L.,greenish,reduced florets in dense awned spikes,wind,Annual barley; predominantly cleistogamous and selfing.,mainly_selfing,SC,flora; inference,medium
Leontodon saxatilis Lam.,yellow,ligulate composite capitula,bees,Dandelion-like heads visited by bees and flies; likely mixed mating.,mixed_mating,unknown,flora; inference,low
Polygonum aviculare L.,white; greenish,tiny actinomorphic flowers,self,Predominantly autogamous; insects occasionally visit but contribute little.,mainly_selfing,SC,field_study; inference,medium
Trifolium scabrum L.,white; cream,papilionoid legume flowers,bees,Clover species typically bee-pollinated and mostly self-incompatible.,obligate_outcrossing,SI,flora; inference,medium
Brassica nigra (L.) W.D.J.Koch,yellow,actinomorphic crucifer flowers,bees,Black mustard; strong sporophytic SI → obligate outcrossing.,obligate_outcrossing,SI,field_study; review,high
Chenopodium album L.,greenish,tiny apetalous flowers,self,Predominantly self-pollinating chenopod with minimal insect interaction.,mainly_selfing,SC,field_study; inference,medium
Galium murale (L.) All.,greenish-white,tiny 4-lobed flowers,mixed,Small flowers visited by tiny bees/flies; autogamy probably frequent.,mixed_mating,unknown,flora; inference,low
Potentilla reptans L.,yellow,actinomorphic rosaceous flowers,bees,Cinquefoil visited by bees; self-compatible with both selfing and outcrossing.,mixed_mating,likely_SC,field_study; inference,medium
Verbascum virgatum Stokes,yellow,zygomorphic tubular flowers,bees,Mullein mainly visited by bees; generally self-compatible.,mixed_mating,SC,flora; inference,medium
Chondrilla juncea L.,yellow,ligulate capitula,bees,Often apomictic or selfing; visited by bees but sexual reproduction limited.,mainly_selfing,SC,review; inference,medium
Cupressus macrocarpa Hartw. ex Gordon,unknown,no flowers (gymnosperm cones),wind,Wind-pollinated conifer; outcrossing common but some selfing possible.,mixed_mating,unknown,review; inference,low
Arctium minus (Hill) Bernh.,purple,actinomorphic thistle capitula,bees,Burdock visited by bees and flies; self-compatible with mixed mating.,mixed_mating,SC,field_study; inference,medium
Avena barbata subsp. barbata,greenish,reduced grass florets,wind,Wild oat with frequent cleistogamy → mostly selfing.,mainly_selfing,SC,field_study; inference,medium
Pinus pinaster Aiton,unknown,gymnosperm cones,wind,Wind-pollinated pine; mostly outcrossing with some selfing.,mixed_mating,unknown,review; inference,medium
Pinus pinaster subsp. atlantica Villar,unknown,gymnosperm cones,wind,Wind-pollinated pine; similar mating profile to P. pinaster.,mixed_mating,unknown,review; inference,medium
Aetheorhiza bulbosa subsp. bulbosa,yellow,ligulate composite capitula,bees,Composite visited by bees and flies; probably allows selfing and outcrossing.,mixed_mating,unknown,flora; inference,low
Lysimachia arvensis (L.) U.Manns & Anderb.,orange; blue; red,actinomorphic rotate flowers,self,Short-lived flowers often self-pollinate before insect visitation.,mainly_selfing,SC,field_study; review,medium
Papaver rhoeas L.,red,actinomorphic poppy flowers,bees,Corn poppy visited by bees; self-compatible with substantial autonomous selfing.,mixed_mating,SC,field_study; review,high
Poa annua L.,greenish,reduced florets in open panicles,wind,Annual grass; cleistogamous and predominantly autogamous.,mainly_selfing,SC,review; field_study,high
Portulaca oleracea L.,yellow,actinomorphic 5-petaled flowers,bees,Purslane visited by bees; highly self-compatible and often autonomously selfing.,mainly_selfing,SC,field_study; inference,medium
Urtica dioica L.,greenish,inconspicuous,wind,wind-pollinated; apetalous flowers,obligate_outcrossing,unknown,flora,medium
Cirsium vulgare (Savi) Ten.,purple,radial,bees,visited by bees and bumblebees; generalist capitulum,mixed_mating,likely_SI,review,medium
Crataegus monogyna subsp. mongyna Jacq.,white,radial,flies,strong odor attracts flies; also bees,mixed_mating,SI,review,medium
Daucus carota L.,white,radial/umbel,mixed,"generalist umbel; flies, bees, beetles",mixed_mating,unknown,review,medium
Escallonia rubra (Ruiz & Pav.) Pers.,pink-red,tubular,bees,bee-pollinated ornamental shrub,obligate_outcrossing,unknown,horticulture,low
Sonchus bulbosus (L.) N.Kilian & Greuter,yellow,radial,bees,visited by small bees; typical Asteraceae,mixed_mating,unknown,inference,low
Lactuca serriola L.,yellow,radial,self,mostly autogamous; florets self-fertilize,mainly_selfing,likely_SC,review,medium
Myosotis ramosissima Rochel,blue,radial,bees,visited by small bees; low nectar,mixed_mating,unknown,inference,low
Rumex pulcher L.,greenish,inconspicuous,wind,dioecious wind-pollinated herb,obligate_outcrossing,unknown,flora,medium
Sherardia arvensis L.,pink-lilac,radial,bees,visited by small bees; limited nectar,mixed_mating,unknown,inference,low
Sonchus oleraceus L.,yellow,radial,bees,bees and flies; partial selfing common,mixed_mating,likely_SC,review,medium
Anacamptis pyramidalis (L.) Rich.,pink-purple,zygomorphic,butterflies,specialized for Lepidoptera with long nectar spur,obligate_outcrossing,SI,field_study,high
Atriplex prostrata DC.,greenish,inconspicuous,wind,wind-pollinated; reduced floral structures,obligate_outcrossing,unknown,flora,medium
Avena barbata Pott ex Link,greenish,inconspicuous,wind,grass; entirely wind-pollinated,obligate_outcrossing,unknown,flora,medium
Galium arenarium Loisel.,yellowish,radial,bees,visited by small bees and flies,mixed_mating,unknown,inference,low
Olea europaea L.,white,radial,wind,wind-pollinated; large pollen loads,obligate_outcrossing,likely_SI,review,medium
Yucca gloriosa L.,white,radial,moths,obligate pollination mutualism with yucca moths,obligate_outcrossing,likely_SI,field_study,high
Lycium barbarum L.,purple-lilac,radial,bees,visited by bees; open corolla,mixed_mating,SC,review,medium
